,time,appv,current,status,power
256,256,-0.5945158603819157,-0.003078146165413563,-v,0.0018300067159121392
257,257,-0.6217167691655772,-0.003063128741981727,-v,0.0019043985050030982
258,258,-0.6472135954999585,-0.0030397154986033757,-v,0.0019673451971480398
259,259,-0.6709364543563383,-0.003007970609119646,-v,0.0020181571352908107
260,260,-0.6928203230275503,-0.002967981083852309,-v,0.0020562776132542152
261,261,-0.7128052193506937,-0.002919856531113092,-v,0.0020812889751326232
262,262,-0.7308363661140804,-0.0028637288567737117,-v,0.0020929171912205296
263,263,-0.7468643411977611,-0.0027997519027198716,-v,0.0020910348603420553
264,264,-0.7608452130361227,-0.0027281010251802755,-v,0.0020756626056873517
265,265,-0.7727406610312539,-0.002648972614086404,-v,0.0020469688488628165
266,266,-0.782518080587044,-0.0025625835547804644,-v,0.002005267964630733
267,267,-0.7901506724761098,-0.00246917063354687,-v,0.0019510168365553214
268,268,-0.7956175162946185,-0.0023689898885967424,-v,0.0018848098512924052
269,269,-0.798903627803659,-0.002262315908284236,-v,0.001807372386366206
270,270,-0.8,-0.0021494410784782957,-v,0.0017195528627826366
271,271,-0.7989036278036592,-0.0020306747811526873,-v,0.0016223134495522836
272,272,-0.7956175162946189,-0.0019063425463909562,-v,0.0015167195219663318
273,273,-0.7901506724761105,-0.0017767851601305682,-v,0.0014039279891227422
274,274,-0.7825180805870448,-0.0016423577300918608,-v,0.0012851746185887785
275,275,-0.7727406610312548,-0.0015034287124520212,-v,0.0011617604970735433
276,276,-0.7608452130361231,-0.0013603789019319054,-v,0.0010350377754502278
277,277,-0.7468643411977616,-0.0012136003880637907,-v,0.0009063948543086109
278,278,-0.7308363661140809,-0.0010634954805008798,-v,0.0007772411723480113
279,279,-0.7128052193506943,-0.0009104756063141735,-v,0.0006489917642722308
280,280,-0.6928203230275507,-0.0007549601822991756,-v,0.0005230517573734534
281,281,-0.670936454356339,-0.0005973754653833304,-v,0.0004008009766637596
282,282,-0.6472135954999575,-0.0004381533842851546,-v,0.0002835788272236695
283,283,-0.6217167691655778,-0.00027773035562742547,-v,0.0001726696193998899
284,284,-0.5945158603819164,-0.00011654608774928517,-v,6.928849763241259e-05
285,285,-0.565685424949239,4.495762450388133e-05,-v,-2.543187292218643e-05
286,286,-0.5353044850870873,0.0002063381107096458,-v,-0.00011045371610726936
287,287,-0.5034563128398707,0.00036715303819754436,-v,-0.00018484551485889187
288,288,-0.47022820183397895,0.0005269616244523526,-v,-0.0002477922171017423
289,289,-0.43571122801202433,0.000685325845268438,-v,-0.0002986041656302897
290,290,-0.4000000000000026,0.0008418116353438677,-v,-0.00033672465413754925
291,291,-0.36319239979163986,0.0009959900780232558,-v,-0.0003617360266059289
292,292,-0.32538931446064245,0.0011474385809286793,-v,-0.00037336425323407536
293,293,-0.2866943596362423,0.0012957420342561057,-v,-0.0003714819327648161
294,294,-0.24721359549995983,0.0014404939485626045,-v,-0.00035610968832009565
295,295,-0.20705523608201834,0.0015812975689257509,-v,-0.000327415941449843
296,296,-0.16632935265420898,0.0017177669624213712,-v,-0.0002857150668703336
297,297,-0.125147572032186,0.001849528075938939,-v,-0.00023146394810911872
298,298,-0.08362277061412383,0.001976219761435222,-v,-0.0001652569717935961
299,299,-0.04186876499435589,0.002097494765816033,-v,-8.781951542684303e-05
300,300,-5.878304635907295e-16,0.0022130206827328824,-v,-1.300880973866743e-18
301,301,0.04186876499435471,0.00232248086368573,+v,9.723940548554379e-05
302,302,0.08362277061412267,0.0024255752859345674,+v,0.00020283332574299134
303,303,0.12514757203218482,0.00252202137484094,+v,0.00031562485167461633
304,304,0.1663293526542078,0.0026115547783854332,+v,0.00043437821570985224
305,305,0.20705523608201717,0.0026939300917382266,+v,0.0005577923311333087
306,306,0.24721359549995603,0.002768921529896689,+v,0.0006845150470629996
307,307,0.28669435963623857,0.0028363235465464903,+v,0.0008131579628983312
308,308,0.3253893144606388,0.002895951397449677,+v,0.0009423116399274792
309,309,0.36319239979163626,0.002947641646815894,+v,0.0010705610434328353
310,310,0.3999999999999991,0.0029912526152685364,+v,0.0011965010461074117
311,311,0.435711228012021,0.003026664768178095,+v,0.0013187518229235966
312,312,0.470228201833978,0.003053781043298289,+v,0.001435973968784844
313,313,0.5034563128398697,0.0030725271168069632,+v,0.0015468831733281493
314,314,0.5353044850870864,0.0030828516070225322,+v,0.0016502642920970935
315,315,0.5656854249492381,0.0030847262152376223,+v,0.0017449846599187494
316,316,0.5945158603819137,0.003078145803283858,+v,0.0018300065006202797
317,317,0.6217167691655754,0.003063128407615301,+v,0.0019043982971218786
318,318,0.6472135954999567,0.003039715189871708,+v,0.001967344997332702
319,319,0.6709364543563383,0.0030079703240574185,+v,0.0020181569440321703
320,320,0.6928203230275503,0.002967980820644852,+v,0.00205627743089874
321,321,0.7128052193506937,0.0029198562880848734,+v,0.0020812888019008406
322,322,0.7308363661140803,0.0028637286323776557,+v,0.0020929170272237308
323,323,0.7468643411977611,0.0027997516955275137,+v,0.0020910347055974714
324,324,0.7608452130361227,0.002728100833872665,+v,0.002075662460131872
325,325,0.7727406610312546,0.0026489724374457145,+v,0.002046968712365375
326,326,0.7825180805870445,0.0025625833916822264,+v,0.0020052678370034143
327,327,0.7901506724761103,0.00246917048295283,+v,0.0019510167175633406
328,328,0.7956175162946184,0.002368989749548242,+v,0.0018848097406629826
329,329,0.798903627803659,0.0022623157798961225,+v,0.0018073722837964764
330,330,0.8,0.0021494409599332708,+v,0.0017195527679466167
331,331,0.7989036278036592,0.002030674671696114,+v,0.0016223133621070304
332,332,0.7956175162946189,0.0019063424453260533,+v,0.0015167194415573247
333,333,0.7901506724761105,0.001776785066813975,+v,0.0014039279153885732
334,334,0.7825180805870448,0.0016423576439295398,+v,0.0012851745511652047
335,335,0.7727406610312548,0.0015034286328954784,+v,0.0011617604355969677
336,336,0.7608452130361232,0.001360378828474698,+v,0.0010350377195606632
337,337,0.7468643411977616,0.001213600320238301,+v,0.0009063948036521711
